twitter	name_first	name_middle	name_last	state	position	party	inactive 
AarikaRhodes	Aarika		Rhodes	Calif.	House Candidate	Democrat	
aaronanthony	Aaron		Anthony	Pa.	House Candidate	Democrat	inactive 
AaronJLuciani	Aaron		Luciani	Va.	House Candidate	Other	inactive 
AaronScheinberg	Aaron		Scheinberg	W.Va.	House Candidate	Democrat	inactive 
aaronschock	Aaron		Schock	Ill.	House Representative	Republican	inactive 
alpettigrew1	Aaron		Pettigrew	Tenn.	Senate Candidate	Republican	inactive 
GodfreyForOH16	Aaron		Godfrey	Ohio	House Candidate	Democrat	inactive 
realAaronHermes	Aaron		Hermes	Texas	House Candidate	Republican	inactive 
RepAaronSchock	Aaron		Schock	Ill.	House Representative	Republican	inactive 
ScanlanCongress	Aaron		Scanlan	Fla.	House Candidate	Republican	inactive 
WoolfforNY	Aaron		Woolf	N.Y.	House Candidate	Democrat	inactive 
Abbie4Congress	Abbie		Hodgson	Kan.	House Candidate	Democrat	inactive 
Abby4Iowa	Abby		Finkenauer	Iowa	House Candidate	Democrat	inactive 
abbybroyles	Abby		Broyles	Okla.	Senate Candidate	Democrat	inactive 
RepFinkenauer	Abby		Finkenauer	Iowa	House Representative	Democrat	inactive 
AbeMatthew	Abe		Matthew	Ill.	House Candidate	Democrat	inactive 
AbelJTapia	Abel		Tapia	Colo.	House Candidate	Democrat	inactive 
abelmaldonado	Abel		Maldonado	Calif.	House Candidate	Republican	inactive 
RepSpanberger	Abigail		Spanberger	Va.	House Representative	Democrat	
SpanbergerVA07	Abigail		Spanberger	Va.	House Candidate	Democrat	
AdairFromSC	Adair	Ford	Burroughs	S.C.	House Candidate	Democrat	inactive 
28thDistrict	Adam		Schiff	Calif.	House Representative	Democrat	inactive 
AC4Congress2020	Adam		Christensen	Fla.	House Candidate	Democrat	inactive 
AdamDeMarco	Adam		DeMarco	Md.	House Candidate	Democrat	inactive 
AdamHasner	Adam		Hasner	Fla.	House Candidate	Republican	inactive 
adamhedelen	Adam		Edelen	Ky.	Gubernatorial Candidate	Democrat	inactive 
AdamKinzinger	Adam		Kinzinger	Ill.	House Representative	Republican	
AdamKwasman	Adam		Kwasman	Ariz.	House Candidate	Republican	inactive 
AdamLaxalt	Adam		Laxalt	Nev.	Gubernatorial Candidate	Republican	inactive 
adammgentle	Adam		Gentle	Fla.	House Candidate	Democrat	
adamputnam	Adam		Putnam	Fla.	Gubernatorial Candidate	Democrat	inactive 
AdamSchiff	Adam		Schiff	Calif.	House Candidate	Democrat	
CoteForMaine	Adam		Cote	Maine	Gubernatorial Candidate	Democrat	inactive 
electadamsmith	Adam		Smith	Wash.	House Candidate	Democrat	
HarrisonforWA	Adam		Harrison	Wash.	House Candidate	Other	inactive 
HattersleyforFL	Adam		Hattersley	Fla.	House Candidate	Democrat	inactive 
RepAdamSchiff	Adam		Schiff	Calif.	House Representative	Democrat	
RepAdamSmith	Adam		Smith	Wash.	House Representative	Democrat	
RepKinzinger	Adam		Kinzinger	Ill.	House Representative	Republican	
ScowForCongress	Adam	Bolaños	Scow	Calif.	House Candidate	Democrat	inactive 
AdelaWisdom	Adela		Wisdom	Mo.	House Candidate	Republican	inactive 
adembunkeddeko	Adem		Bunkeddeko	N.Y.	House Candidate	Democrat	inactive 
